clip_id,split,start_index,label_index,label_lane_0,label_lane_1
Mumbai Traffic Chaos - Near Andheri Station,train,0,89,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,5,94,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,10,99,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,15,104,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,20,109,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,25,114,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,30,119,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,35,124,MEDIUM,HIGH
Mumbai Traffic Chaos - Near Andheri Station,train,40,129,MEDIUM,HIGH
Mumbai Traffic Chaos - Near Andheri Station,train,45,134,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,50,139,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,55,144,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,60,149,MEDIUM,HIGH
Mumbai Traffic Chaos - Near Andheri Station,train,65,154,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,70,159,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,75,164,MEDIUM,HIGH
Mumbai Traffic Chaos - Near Andheri Station,train,80,169,MEDIUM,MEDIUM
Mumbai Traffic Chaos - Near Andheri Station,train,85,174,LOW,HIGH
Pov_Thursday Traffic From Footover bridge। Cloudy Seen।,val,0,89,LOW,MEDIUM
Pov_Thursday Traffic From Footover bridge। Cloudy Seen।,val,5,94,LOW,MEDIUM
Pov_Thursday Traffic From Footover bridge। Cloudy Seen।,val,10,99,LOW,HIGH
Pov_Thursday Traffic From Footover bridge। Cloudy Seen।,val,15,104,LOW,MEDIUM
Pov_Thursday Traffic From Footover bridge। Cloudy Seen।,val,20,109,LOW,MEDIUM
